what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275579755788
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275580954053
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275580956600
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275580991132
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1275580997303
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581015944
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581015960
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581016100
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581055600
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1275581063116
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581064038
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581102538
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1275581118788
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581122022
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581185257
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581187803
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581188272
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1275581188772
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581189100
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581190288
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581190585
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1275581191038
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581191335
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581197507
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581197803
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581203475
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581203991
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581206710
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581206944
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581212585
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581213413
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581216616
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581219975
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1275581220553
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581228585
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581232678
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581241053
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581255647
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1275581258413
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581259147
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275581601694
